Mod:Item:MetaData, Localized Name
meem:itemextremeimplant, NI-10
meem:iteminjector, Injector
meem:itemfullinjector, Error
meem:itemidcard, ID Card
meem:itemfrequencyinstaller, Frequency Installer
meem:itemchargedetector, Charge Detector
meem:itemtablet, Tablet
meem:itemenergybalancer, Energy Cell Balancer
meem:itemfullcapsule, Refrigerant
meem:itemnuclearfuel, Nuclear Fuel
meem:itempowersuppressor, Power Suppressor
meem:itemantenna, Antenna
meem:itemcase, Case
meem:itemcopperblank, Copper Blank
meem:itemcopperwires, Copper Wires
meem:itemelectricalboard, Electrical Board
meem:itemelectriccarver, Electric Carver
meem:itemironblank, Iron Blank
meem:itemironcylinder, Iron Cylinder
meem:itemironrod, Iron Rod
meem:itemprocessor, Processor
meem:itemforcefieldcomponent, Force Field Component
meem:itemheavyblank, Heavy Blank
meem:itemheavyplate, Heavy Plate
meem:itemcapsule, Empty capsule
meem:itemtoughironrod, Tough Iron Rod
meem:itemreinforcedheavyplate, Reinforced Heavy Plate
meem:itemsmallcrystal, Power Crystal
meem:itemcrystal, High Power Crystal
meem:itembigcrystal, Extreme Power Crystal
meem:itemsmallcrystalactive, Power Crystal
meem:itemcrystalactive, High Power Crystal
meem:itembigcrystalactive, Extreme Power Crystal
meem:itemcalifornium, Californium
meem:itemuranium, Uranium
meem:itemuraniumdust, Uranium Dust
meem:itemcopperingot, Copper Ingot
meem:itemcopperdust, Copper Dust
meem:itemcoppernugget, Copper Nugget
meem:itemirondust, Iron Dust
meem:itemgolddust, Gold Dust
meem:itemcoaldust, Coal Dust
meem:itemheavyingot, Heavy Ingot
meem:itemheavydust, Heavy Dust
meem:itemsmallcapacitor, Small Capacitor
meem:itemcapacitor, Capacitor
meem:itembigcapacitor, Big Capacitor
meem:itemcreativecapacitor, Creative Capacitor
meem:itemvoltagemodule, Copper Coil
meem:itemradiusmodule, Electric Transmitter
meem:itemlossreductionmodule, Path Searching Board
meem:itemheatmodule, Radiator
meem:itemcapacitymodule, Energy Cell
meem:itemconductionmodule, Relay
meem:itemlifemodule, Life Module
meem:itemelectricalmodule, Electrical Module
meem:itemaggressivemodule, Aggressive Module
meem:itemstrangemodule, Strange Module
meem:itemluckmodule, Luck Module
meem:itemteleportmodule, Teleport Module
meem:itemplantmodule, Plant Module
meem:itemwatermodule, Water Module
meem:itemlavamodule, Lava Module
meem:itemsecuritymodule, Security Module
meem:itemwindmodule, Wind Module
meem:itemshieldmodule, Shield Module
meem:itemlightningmodule, Lightning Module
meem:itemhungryenergymodule, Organic Generator
meem:itemmotionenergymodule, Kinetic Generator
meem:itemsunenergymodule, Solar Generator
meem:itemchunkenergymodule, Electrostatic Generator
meem:itemlavaenergymodule, Thermal Generator
meem:itemnuclearenergymodule, Miniature Nuclear Reactor
meem:itemlinksinfomodule, Field visualizer
meem:itementityinfomodule, Entity Analyzer
meem:itempathinfomodule, Navigation module
meem:itemmapinfomodule, Scanner
microblockcbe:saw_stone, Stone Saw
microblockcbe:saw_iron, Iron Saw
microblockcbe:saw_diamond, Diamond Saw
microblockcbe:stone_rod, Stone Rod
gendustry:mutagen, Mutagen
gendustry:liquiddna, Liquid DNA
gendustry:protein, Protein
gendustry:labware, Genetics Labware
gendustry:waste, Genetic Waste
gendustry:gene_sample_blank, Blank Gene Sample
gendustry:gene_sample, %s Sample - %s
gendustry:gene_template, Genetic Template
gendustry:apiary.upgrade:17, Plains Emulation Upgrade
gendustry:apiary.upgrade:11, Light Upgrade
gendustry:apiary.upgrade:2, Flowering Upgrade
gendustry:apiary.upgrade:20, Winter Emulation Upgrade
gendustry:apiary.upgrade:5, Dryer Upgrade
gendustry:apiary.upgrade:14, Automation Upgrade
gendustry:apiary.upgrade:4, Humidifier Upgrade
gendustry:apiary.upgrade:13, Hell Emulation Upgrade
gendustry:apiary.upgrade:22, Pollen Scrubber Upgrade
gendustry:apiary.upgrade:16, Desert Emulation Upgrade
gendustry:apiary.upgrade:7, Cooler Upgrade
gendustry:apiary.upgrade:1, Lifespan Upgrade
gendustry:apiary.upgrade:10, Seal Upgrade
gendustry:apiary.upgrade:19, Genetic Stabilizer Upgrade
gendustry:apiary.upgrade:18, Jungle Emulation Upgrade
gendustry:apiary.upgrade:3, Territory Upgrade
gendustry:apiary.upgrade:21, Ocean Emulation Upgrade
gendustry:apiary.upgrade:12, Open Sky Upgrade
gendustry:apiary.upgrade:6, Heater Upgrade
gendustry:apiary.upgrade:15, Sieve Upgrade
gendustry:apiary.upgrade:0, Production Upgrade
gendustry:industrial_grafter, Industrial Grafter
gendustry:industrial_scoop, Scooporator MX200 Turbo
gendustry:honey_comb:10, Black Colored Comb
gendustry:honey_comb:24, Orange Colored Comb
gendustry:honey_comb:25, White Colored Comb
gendustry:honey_comb:14, Blue Colored Comb
gendustry:honey_comb:20, Lime Colored Comb
gendustry:honey_comb:21, Yellow Colored Comb
gendustry:honey_comb:13, Brown Colored Comb
gendustry:honey_comb:17, Light Gray Colored Comb
gendustry:honey_comb:22, Light Blue Colored Comb
gendustry:honey_comb:12, Green Colored Comb
gendustry:honey_comb:18, Gray Colored Comb
gendustry:honey_comb:16, Cyan Colored Comb
gendustry:honey_comb:11, Red Colored Comb
gendustry:honey_comb:23, Magenta Colored Comb
gendustry:honey_comb:19, Pink Colored Comb
gendustry:honey_comb:15, Purple Colored Comb
gendustry:honey_drop:10, Black Colored Honey Drop
gendustry:honey_drop:24, Orange Colored Honey Drop
gendustry:honey_drop:25, White Colored Honey Drop
gendustry:honey_drop:14, Blue Colored Honey Drop
gendustry:honey_drop:20, Lime Colored Honey Drop
gendustry:honey_drop:21, Yellow Colored Honey Drop
gendustry:honey_drop:13, Brown Colored Honey Drop
gendustry:honey_drop:17, Light Gray Colored Honey Drop
gendustry:honey_drop:22, Light Blue Colored Honey Drop
gendustry:honey_drop:12, Green Colored Honey Drop
gendustry:honey_drop:18, Gray Colored Honey Drop
gendustry:honey_drop:16, Cyan Colored Honey Drop
gendustry:honey_drop:11, Red Colored Honey Drop
gendustry:honey_drop:23, Magenta Colored Honey Drop
gendustry:honey_drop:19, Pink Colored Honey Drop
gendustry:honey_drop:15, Purple Colored Honey Drop
gendustry:mutagen_tank, Mutagen Tank
gendustry:bee_receptacle, Bee Receptacle
gendustry:power_module, Power Module
gendustry:genetics_processor, Genetics Processor
gendustry:env_processor, Environmental Processor
gendustry:upgrade_frame, Upgrade Frame
gendustry:climate_module, Climate Control Module
gendustry:pollen_kit, Pollen Collection Kit
gendustry:hive_spawn_debugger, Hive Spawning Debugger
gendustry:eject_cover, Item Eject Cover
gendustry:import_cover, Item Import Cover
gendustry:error_sensor_cover, Error Sensor Cover
gendustry:mutagen_producer, Mutagen Producer
gendustry:mutatron, Mutatron
gendustry:industrial_apiary, Industrial Apiary
gendustry:imprinter, Genetic Imprinter
gendustry:sampler, Genetic Sampler
gendustry:mutatron_advanced, Advanced mutatron
gendustry:liquifier, Protein Liquifier
gendustry:extractor, DNA Extractor
gendustry:transposer, Genetic Transposer
gendustry:replicator, Genetic Replicator
advgenerators:iron_frame, Iron Frame
advgenerators:power_io, Power IO Module
advgenerators:iron_tubing, Iron Tubing
advgenerators:iron_wiring, Redstone-Iron Wiring
advgenerators:controller, Control Circuit
advgenerators:pressure_valve, Pressure Valve
advgenerators:advanced_pressure_valve, Advanced Pressure Valve
advgenerators:upgrade_kit, Upgrade Kit
advgenerators:turbine_controller, Gas Turbine controller
advgenerators:exchanger_controller, Heat Exchanger Controller
advgenerators:steam_turbine_controller, Steam Turbine Controller
advgenerators:syngas_controller, Syngas Producer Controller
advgenerators:rf_output, Flux Generator
advgenerators:forge_output, Forge Energy Emitter
advgenerators:fluid_input, Fluid Intake Valve
advgenerators:fluid_output_select, Fluid Output Valve
advgenerators:item_input, Item Input Port
advgenerators:item_output, Item Output Port
advgenerators:fuel_tank, Fuel Tank
advgenerators:heating_chamber, Heating Chamber
advgenerators:mixing_chamber, Mixing Chamber
advgenerators:heat_exchanger, Heat Exchanger
advgenerators:sensor, Sensor Module
advgenerators:control, Redstone Control Module
advgenerators:efficiency_upgrade_tier1, Fuel/Air Mixer
advgenerators:efficiency_upgrade_tier2, Gas Mix Compressor
advgenerators:generators_data_port, Machine Data Port
advgenerators:steam, Steam
advgenerators:syngas_flaming, tile.advgenerators.syngas_flaming.name
advgenerators:syngas, Syngas
advgenerators:turbine_blade_enderium, Enderium Turbine Blade
advgenerators:turbine_rotor_enderium, Enderium Turbine Rotor
advgenerators:turbine_kit_enderium, Enderium Turbine Upgrade Kit
advgenerators:turbine_enderium, Enderium Turbine
advgenerators:turbine_blade_steel, Steel Turbine Blade
advgenerators:turbine_rotor_steel, Steel Turbine Rotor
advgenerators:turbine_kit_steel, Steel Turbine Upgrade Kit
advgenerators:turbine_steel, Steel Turbine
advgenerators:turbine_rotor_gold, Gold Plated Turbine Rotor
advgenerators:turbine_kit_gold, Gold Plated Turbine Upgrade Kit
advgenerators:turbine_gold, Gold Plated Turbine
advgenerators:turbine_blade_bronze, Bronze Turbine Blade
advgenerators:turbine_rotor_bronze, Bronze Turbine Rotor
advgenerators:turbine_kit_bronze, Bronze Turbine Upgrade Kit
advgenerators:turbine_bronze, Bronze Turbine
advgenerators:turbine_blade_manyullyn, Manyullyn Turbine Blade
advgenerators:turbine_rotor_manyullyn, Manyullyn Turbine Rotor
advgenerators:turbine_kit_manyullyn, Manyullyn Turbine Upgrade Kit
advgenerators:turbine_manyullyn, Manyullyn Turbine
advgenerators:turbine_blade_iron, Iron Turbine Blade
advgenerators:turbine_rotor_iron, Iron Turbine Rotor
advgenerators:turbine_iron, Iron Turbine
advgenerators:power_capacitor_redstone, Basic Power Capacitor
advgenerators:capacitor_kit_advanced, Advanced Capacitor Upgrade Kit
advgenerators:power_capacitor_advanced, Advanced Power Capacitor
advgenerators:capacitor_kit_dense, High Density Capacitor Upgrade Kit
advgenerators:power_capacitor_dense, High Density Power Capacitor
geneticsreborn:debugger, Cheat Tool
geneticsreborn:glasssyringe, Glass Syringe
geneticsreborn:metalsyringe, Metal Syringe
geneticsreborn:metalscraper, Metal Scraper
geneticsreborn:advancedscraper, Advanced Scraper
geneticsreborn:overclocker, Overclocker
geneticsreborn:organicmatter, Organic Matter
geneticsreborn:cell, Cell
geneticsreborn:dnahelix, DNA Helix
geneticsreborn:antiplasmid, Anti Plasmid
geneticsreborn:plasmid, DNA Plasmid
geneticsreborn:antifield, Anti Field Orb
geneticsreborn:dragonhealthcrystal, Dragon Health Crystal
geneticsreborn:cellanalyser, Cell Analyser
geneticsreborn:dnaextractor, DNA Extractor
geneticsreborn:dnadecrypter, DNA Decrypter
geneticsreborn:plasmidinfuser, Plasmid Infuser
geneticsreborn:bloodpurifier, Blood Purifier
geneticsreborn:plasmidinjector, Plasmid Injector
geneticsreborn:cloningmachine, Cloning Machine
geneticsreborn:antifieldblock, Anti Field Block
geneticsreborn:coalgenerator, Coal Generator
improvedbackpacks:backpack, Backpack
improvedbackpacks:bound_leather, Bound Leather
improvedbackpacks:tanned_leather, Tanned Leather
improvedbackpacks:blank_upgrade, Blank Upgrade
improvedbackpacks:upgrade:0, Storage Upgrade (Wood)
improvedbackpacks:upgrade:1, Storage Upgrade (Stone)
improvedbackpacks:upgrade:2, Storage Upgrade (Iron)
improvedbackpacks:upgrade:3, Storage Upgrade (Gold)
improvedbackpacks:upgrade:4, Storage Upgrade (Diamond)
improvedbackpacks:ender_backpack, Ender Backpack
jaff:tank, Fish Tank
jaff:fish_bucket_cod, Bucket with Cod
jaff:fish_bucket_salmon, Bucket with Salmon
jaff:fish_bucket_clownfish, Bucket with Clownfish
jaff:fish_bucket_pufferfish, Bucket with Pufferfish
jaff:iron_hook, Iron Fish Hook
jaff:fish_bones, Fish Bones
jaff:wooden_fishing_rod, Wooden Fishing Rod
jaff:iron_fishing_rod, Iron Fishing Rod
jaff:golden_fishing_rod, Gold Fishing Rod
jaff:diamond_fishing_rod, Diamond Fishing Rod
malisisdoors:wood_sliding_door, Wooden Glass Door
malisisdoors:iron_sliding_door, Iron Glass Door
malisisdoors:jail_door, Jail Door
malisisdoors:laboratory_door, Laboratory Door
malisisdoors:factory_door, Factory Door
malisisdoors:shoji_door, Shoji Door
malisisdoors:curtain_white, White Curtain
malisisdoors:curtain_orange, Orange Curtain
malisisdoors:curtain_magenta, Magenta Curtain
malisisdoors:curtain_light_blue, Light Blue Curtain
malisisdoors:curtain_yellow, Yellow Curtain
malisisdoors:curtain_lime, Lime Curtain
malisisdoors:curtain_pink, Pink Curtain
malisisdoors:curtain_gray, Gray Curtain
malisisdoors:curtain_silver, SilverCurtain
malisisdoors:curtain_cyan, Cyan Curtain
malisisdoors:curtain_purple, Purple Curtain
malisisdoors:curtain_blue, Blue Curtain
malisisdoors:curtain_brown, Brown Curtain
malisisdoors:curtain_green, Green Curtain
malisisdoors:curtain_red, Red Curtain
malisisdoors:curtain_black, Black Curtain
malisisdoors:customdooritem, Custom Door
malisisdoors:saloon, Saloon Door
malisisdoors:sliding_trapdoor, Sliding Trapdoor
malisisdoors:trapdoor_acacia, Acacia Trapdoor
malisisdoors:trapdoor_birch, Birch Trapdoor
malisisdoors:trapdoor_dark_oak, Dark Oak Trapdoor
malisisdoors:trapdoor_jungle, Jungle Trapdoor
malisisdoors:trapdoor_spruce, Spruce Trapdoor
malisisdoors:camofencegate, Camo Fence Gate
malisisdoors:verticalhatch, Reinforced Door
malisisdoors:garage_door, Garage Door
malisisdoors:carriage_door, Carriage Door
malisisdoors:medieval_door, Medieval Door
malisisdoors:big_door_oak_3x3, Large Oak Double Doors
malisisdoors:big_door_spruce_3x3, Large Spruce Double Doors
malisisdoors:big_door_birch_3x3, Large Birch Double Doors
malisisdoors:big_door_jungle_3x3, Large Jungle Double Doors
malisisdoors:big_door_acacia_3x3, Large Acacia Double Doors
malisisdoors:big_door_dark_oak_3x3, Large Dark Oak Double Doors
malisisdoors:big_door_iron_3x3, Large Iron Double Doors
malisisdoors:big_door_rusty_3x3, Large Rusty Iron Double Doors
malisisdoors:rustyhatch, Rusty Hatch
malisisdoors:rustyhandle, Rusty Handle
malisisdoors:rustyladder, Rusty Ladder
malisisdoors:door_factory, Door Factory
malisisdoors:forcefielditem, Forcefield Controller
malisisdoors:hitechdoor, Hi-tech Door
nuclearcraft:ore:0, Copper Ore
nuclearcraft:ore:1, Tin Ore
nuclearcraft:ore:2, Lead Ore
nuclearcraft:ore:3, Thorium Ore
nuclearcraft:ore:4, Uranium Ore
nuclearcraft:ore:5, Boron Ore
nuclearcraft:ore:6, Lithium Ore
nuclearcraft:ore:7, Magnesium Ore
nuclearcraft:ingot_block:0, Copper Block
nuclearcraft:ingot_block:1, Tin Block
nuclearcraft:ingot_block:2, Lead Block
nuclearcraft:ingot_block:3, Thorium Block
nuclearcraft:ingot_block:4, Uranium Block
nuclearcraft:ingot_block:5, Boron Block
nuclearcraft:ingot_block:6, Lithium Block
nuclearcraft:ingot_block:7, Magnesium Block
nuclearcraft:ingot_block:8, Graphite Block
nuclearcraft:ingot_block:9, Beryllium Block
nuclearcraft:ingot_block:10, Zirconium Block
nuclearcraft:fission_block:0, Fission Reactor Casing
nuclearcraft:fission_block:1, Blast Block
nuclearcraft:reactor_casing_transparent, Transparent Fission Reactor Casing
nuclearcraft:cell_block, Reactor Cell
nuclearcraft:cooler:0, Empty Cooler
nuclearcraft:cooler:1, Water Cooler
nuclearcraft:cooler:2, Redstone Cooler
nuclearcraft:cooler:3, Quartz Cooler
nuclearcraft:cooler:4, Gold Cooler
nuclearcraft:cooler:5, Glowstone Cooler
nuclearcraft:cooler:6, Lapis Cooler
nuclearcraft:cooler:7, Diamond Cooler
nuclearcraft:cooler:8, Liquid Helium Cooler
nuclearcraft:cooler:9, Enderium Cooler
nuclearcraft:cooler:10, Cryotheum Cooler
nuclearcraft:cooler:11, Iron Cooler
nuclearcraft:cooler:12, Emerald Cooler
nuclearcraft:cooler:13, Copper Cooler
nuclearcraft:cooler:14, Tin Cooler
nuclearcraft:cooler:15, Magnesium Cooler
nuclearcraft:reactor_door, Reactor Door
nuclearcraft:reactor_trapdoor, Reactor Trapdoor
nuclearcraft:block_depleted_thorium, Depleted Thorium Block
nuclearcraft:block_depleted_uranium, Depleted Uranium Block
nuclearcraft:block_depleted_neptunium, Depleted Neptunium Block
nuclearcraft:block_depleted_plutonium, Depleted Plutonium Block
nuclearcraft:block_depleted_americium, Depleted Americium Block
nuclearcraft:block_depleted_curium, Depleted Curium Block
nuclearcraft:block_depleted_berkelium, Depleted Berkelium Block
nuclearcraft:block_depleted_californium, Depleted Californium Block
nuclearcraft:block_ice, Supercold Ice
nuclearcraft:nuclear_furnace_idle, Nuclear Furnace
nuclearcraft:nuclear_furnace_active, Nuclear Furnace
nuclearcraft:manufactory_idle, Manufactory
nuclearcraft:manufactory_active, Manufactory
nuclearcraft:isotope_separator_idle, Isotope Separator
nuclearcraft:isotope_separator_active, Isotope Separator
nuclearcraft:decay_hastener_idle, Decay Hastener
nuclearcraft:decay_hastener_active, Decay Hastener
nuclearcraft:fuel_reprocessor_idle, Fuel Reprocessor
nuclearcraft:fuel_reprocessor_active, Fuel Reprocessor
nuclearcraft:alloy_furnace_idle, Alloy Furnace
nuclearcraft:alloy_furnace_active, Alloy Furnace
nuclearcraft:infuser_idle, Fluid Infuser
nuclearcraft:infuser_active, Fluid Infuser
nuclearcraft:melter_idle, Melter
nuclearcraft:melter_active, Melter
nuclearcraft:supercooler_idle, Supercooler
nuclearcraft:supercooler_active, Supercooler
nuclearcraft:electrolyser_idle, Electrolyzer
nuclearcraft:electrolyser_active, Electrolyzer
nuclearcraft:irradiator_idle, Neutron Irradiator
nuclearcraft:irradiator_active, Neutron Irradiator
nuclearcraft:ingot_former_idle, Ingot Former
nuclearcraft:ingot_former_active, Ingot Former
nuclearcraft:pressurizer_idle, Pressurizer
nuclearcraft:pressurizer_active, Pressurizer
nuclearcraft:chemical_reactor_idle, Chemical Reactor
nuclearcraft:chemical_reactor_active, Chemical Reactor
nuclearcraft:salt_mixer_idle, Salt Mixer
nuclearcraft:salt_mixer_active, Salt Mixer
nuclearcraft:crystallizer_idle, Crystallizer
nuclearcraft:crystallizer_active, Crystallizer
nuclearcraft:dissolver_idle, Fluid Enricher
nuclearcraft:dissolver_active, Fluid Enricher
nuclearcraft:extractor_idle, Fluid Extractor
nuclearcraft:extractor_active, Fluid Extractor
nuclearcraft:centrifuge_idle, Centrifuge
nuclearcraft:centrifuge_active, Centrifuge
nuclearcraft:rock_crusher_idle, Rock Crusher
nuclearcraft:rock_crusher_active, Rock Crusher
nuclearcraft:machine_interface, Machine Interface
nuclearcraft:fission_controller_idle, Fission Controller (Old)
nuclearcraft:fission_controller_active, Fission Controller
nuclearcraft:fission_controller_new_idle, Fission Controller
nuclearcraft:fission_controller_new_active, Fission Controller
nuclearcraft:fission_controller_new_fixed, Fission Controller
nuclearcraft:fission_port, Fission Reactor Port
nuclearcraft:fusion_core, Fusion Core
nuclearcraft:fusion_dummy_side, Fusion Core
nuclearcraft:fusion_dummy_top, Fusion Core
nuclearcraft:fusion_connector, Fusion Connector
nuclearcraft:rtg_uranium, Uranium RTG
nuclearcraft:rtg_plutonium, Plutonium RTG
nuclearcraft:rtg_americium, Americium RTG
nuclearcraft:rtg_californium, Californium RTG
nuclearcraft:solar_panel_basic, Basic Solar Panel
nuclearcraft:solar_panel_advanced, Advanced Solar Panel
nuclearcraft:solar_panel_du, DU Solar Panel
nuclearcraft:solar_panel_elite, Elite Solar Panel
nuclearcraft:decay_generator, Decay Generator
nuclearcraft:voltaic_pile_basic, Basic Voltaic Pile
nuclearcraft:lithium_ion_battery_basic, Basic Lithium Ion Battery
nuclearcraft:buffer, Buffer
nuclearcraft:active_cooler, Active Fluid Cooler
nuclearcraft:bin, Universal Bin
nuclearcraft:fusion_electromagnet_idle, Fusion Electromagnet
nuclearcraft:fusion_electromagnet_active, Fusion Electromagnet
nuclearcraft:fusion_electromagnet_transparent_idle, Transparent Fusion Electromagnet
nuclearcraft:fusion_electromagnet_transparent_active, Transparent Fusion Electromagnet
nuclearcraft:salt_fission_controller, Molten Salt Fission Controller
nuclearcraft:salt_fission_wall, Molten Salt Reactor Wall
nuclearcraft:salt_fission_glass, Transparent Molten Salt Reactor Wall
nuclearcraft:salt_fission_frame, Molten Salt Reactor Frame
nuclearcraft:salt_fission_beam, Molten Salt Reactor Beam
nuclearcraft:salt_fission_vent, Molten Salt Reactor Vent
nuclearcraft:salt_fission_vessel, Molten Salt Fission Vessel
nuclearcraft:salt_fission_heater, Molten Salt Coolant Heater
nuclearcraft:salt_fission_moderator, Molten Salt Reactor Moderator Housing
nuclearcraft:salt_fission_distributor, Molten Salt Fuel Distributor
nuclearcraft:salt_fission_retriever, Molten Salt Depleted Fuel Retriever
nuclearcraft:salt_fission_redstone_port, Molten Salt Reactor Redstone Port
nuclearcraft:heat_exchanger_controller, Heat Exchanger Controller
nuclearcraft:heat_exchanger_wall, Heat Exchanger Shell
nuclearcraft:heat_exchanger_glass, Transparent Heat Exchanger Shell
nuclearcraft:heat_exchanger_frame, Heat Exchanger Frame
nuclearcraft:heat_exchanger_vent, Heat Exchanger Vent
nuclearcraft:heat_exchanger_tube_copper, Basic Heat Exchanger Tube
nuclearcraft:heat_exchanger_tube_hard_carbon, Advanced Heat Exchanger Tube
nuclearcraft:heat_exchanger_tube_thermoconducting, Elite Heat Exchanger Tube
nuclearcraft:accelerator_electromagnet_idle, Superconducting Electromagnet
nuclearcraft:accelerator_electromagnet_active, Superconducting Electromagnet
nuclearcraft:electromagnet_supercooler_idle, Superconducting Supercooler
nuclearcraft:electromagnet_supercooler_active, Superconducting Supercooler
nuclearcraft:helium_collector, Helium Collector
nuclearcraft:helium_collector_compact, Compact Helium Collector
nuclearcraft:helium_collector_dense, Dense Helium Collector
nuclearcraft:cobblestone_generator, Cobblestone Generator
nuclearcraft:cobblestone_generator_compact, Compact Cobblestone Generator
nuclearcraft:cobblestone_generator_dense, Dense Cobblestone Generator
nuclearcraft:water_source, Infinite Water Source
nuclearcraft:water_source_compact, Compact Infinite Water Source
nuclearcraft:water_source_dense, Dense Infinite Water Source
nuclearcraft:nitrogen_collector, Nitrogen Collector
nuclearcraft:nitrogen_collector_compact, Compact Nitrogen Collector
nuclearcraft:nitrogen_collector_dense, Dense Nitrogen Collector
nuclearcraft:radiation_scrubber, Radiation Scrubber
nuclearcraft:glowing_mushroom, Glowing Mushroom
nuclearcraft:dry_earth, Wasteland Earth
nuclearcraft:ingot:0, Copper Ingot
nuclearcraft:ingot:1, Tin Ingot
nuclearcraft:ingot:2, Lead Ingot
nuclearcraft:ingot:3, Thorium Ingot
nuclearcraft:ingot:4, Uranium Ingot
nuclearcraft:ingot:5, Boron Ingot
nuclearcraft:ingot:6, Lithium Ingot
nuclearcraft:ingot:7, Magnesium Ingot
nuclearcraft:ingot:8, Graphite Ingot
nuclearcraft:ingot:9, Beryllium Ingot
nuclearcraft:ingot:10, Zirconium Ingot
nuclearcraft:ingot_oxide:0, Thorium Oxide Ingot
nuclearcraft:ingot_oxide:1, Uranium Oxide Ingot
nuclearcraft:ingot_oxide:2, Manganese Oxide Ingot
nuclearcraft:ingot_oxide:3, Manganese Dioxide Ingot
nuclearcraft:dust:0, Copper Dust
nuclearcraft:dust:1, Tin Dust
nuclearcraft:dust:2, Lead Dust
nuclearcraft:dust:3, Thorium Dust
nuclearcraft:dust:4, Uranium Dust
nuclearcraft:dust:5, Boron Dust
nuclearcraft:dust:6, Lithium Dust
nuclearcraft:dust:7, Magnesium Dust
nuclearcraft:dust:8, Graphite Dust
nuclearcraft:dust:9, Beryllium Dust
nuclearcraft:dust:10, Zirconium Dust
nuclearcraft:dust_oxide:0, Thorium Oxide Dust
nuclearcraft:dust_oxide:1, Uranium Oxide Dust
nuclearcraft:dust_oxide:2, Manganese Oxide Dust
nuclearcraft:dust_oxide:3, Manganese Dioxide Dust
nuclearcraft:gem:0, Rhodochrosite
nuclearcraft:gem:1, Cubic Boron Nitride
nuclearcraft:gem:2, Fluorite
nuclearcraft:gem:3, Villiaumite
nuclearcraft:gem:4, Carobbiite
nuclearcraft:gem:5, Boron Arsenide
nuclearcraft:gem_dust:0, Crushed Diamond
nuclearcraft:gem_dust:1, Crushed Rhodochrosite
nuclearcraft:gem_dust:2, Crushed Quartz
nuclearcraft:gem_dust:3, Crushed Obsidian
nuclearcraft:gem_dust:4, Hexagonal Boron Nitride
nuclearcraft:gem_dust:5, Crushed Fluorite
nuclearcraft:gem_dust:6, Sulfur
nuclearcraft:gem_dust:7, Crushed Coal
nuclearcraft:gem_dust:8, Crushed Villiaumite
nuclearcraft:gem_dust:9, Crushed Carobbiite
nuclearcraft:gem_dust:10, Crushed Arsenic
nuclearcraft:alloy:0, Bronze Ingot
nuclearcraft:alloy:1, Tough Alloy
nuclearcraft:alloy:2, Hard Carbon Alloy
nuclearcraft:alloy:3, Magnesium Diboride Alloy
nuclearcraft:alloy:4, Lithium Manganese Dioxide Alloy
nuclearcraft:alloy:5, Steel Ingot
nuclearcraft:alloy:6, Ferroboron Alloy
nuclearcraft:alloy:7, Shibuichi Alloy
nuclearcraft:alloy:8, Tin Silver Alloy
nuclearcraft:alloy:9, Lead Platinum Alloy
nuclearcraft:alloy:10, Extreme Alloy
nuclearcraft:alloy:11, Thermoconducting Alloy
nuclearcraft:alloy:12, Zircaloy
nuclearcraft:compound:0, Calcium Sulfate
nuclearcraft:compound:1, Crystal Binder
nuclearcraft:compound:2, Energetic Blend
nuclearcraft:compound:3, Sodium Fluoride
nuclearcraft:compound:4, Potassium Fluoride
nuclearcraft:compound:5, Sodium Hydroxide
nuclearcraft:compound:6, Potassium Hydroxide
nuclearcraft:compound:7, Borax
nuclearcraft:part:0, Basic Plating
nuclearcraft:part:1, Advanced Plating
nuclearcraft:part:2, DU Plating
nuclearcraft:part:3, Elite Plating
nuclearcraft:part:4, Copper Solenoid
nuclearcraft:part:5, Magnesium Diboride Solenoid
nuclearcraft:part:6, Bioplastic
nuclearcraft:part:7, Servomechanism
nuclearcraft:part:8, Electric Motor
nuclearcraft:part:9, Linear Actuator
nuclearcraft:part:10, Machine Chassis
nuclearcraft:part:11, Empty Frame
nuclearcraft:part:12, Steel Frame
nuclearcraft:upgrade:0, Speed Upgrade
nuclearcraft:fuel_rod_empty, Empty Fuel Rod
nuclearcraft:tiny_dust_lead, Tiny Pile of Lead Dust
nuclearcraft:reactor_door_item, Reactor Door
nuclearcraft:thorium:0, Thorium-230
nuclearcraft:thorium:1, Thorium-230 Oxide
nuclearcraft:thorium:2, Tiny Clump of Thorium-230
nuclearcraft:thorium:3, Tiny Clump of Thorium-230 Oxide
nuclearcraft:thorium:4, Thorium-232
nuclearcraft:thorium:5, Thorium-232 Oxide
nuclearcraft:thorium:6, Tiny Clump of Thorium-232
nuclearcraft:thorium:7, Tiny Clump of Thorium-232 Oxide
nuclearcraft:uranium:0, Uranium-233
nuclearcraft:uranium:1, Uranium-233 Oxide
nuclearcraft:uranium:2, Tiny Clump of Uranium-233
nuclearcraft:uranium:3, Tiny Clump of Uranium-233 Oxide
nuclearcraft:uranium:4, Uranium-235
nuclearcraft:uranium:5, Uranium-235 Oxide
nuclearcraft:uranium:6, Tiny Clump of Uranium-235
nuclearcraft:uranium:7, Tiny Clump of Uranium-235 Oxide
nuclearcraft:uranium:8, Uranium-238
nuclearcraft:uranium:9, Uranium-238 Oxide
nuclearcraft:uranium:10, Tiny Clump of Uranium-238
nuclearcraft:uranium:11, Tiny Clump of Uranium-238 Oxide
nuclearcraft:neptunium:0, Neptunium-236
nuclearcraft:neptunium:1, Neptunium-236 Oxide
nuclearcraft:neptunium:2, Tiny Clump of Neptunium-236
